ProductID,Name,Subcategory,Category,Model,Description,StandardCost,Selling_Price,ProductLine,SellStartDate,SellEndDate
680,"HL Road Frame - Black, 58",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,1059.31,1431.50,"R ",30-04-2008,NULL
706,"HL Road Frame - Red, 58",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,1059.31,1431.50,"R ",30-04-2008,NULL
707,"Sport-100 Helmet, Red",Helmets,Accessories,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",13.0863,34.99,"S ",31-05-2011,NULL
708,"Sport-100 Helmet, Black",Helmets,Accessories,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",13.0863,34.99,"S ",31-05-2011,NULL
709,"Mountain Bike Socks, M",Socks,Clothing,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,3.3963,9.50,"M ",31-05-2011,29-05-2012
710,"Mountain Bike Socks, L",Socks,Clothing,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,3.3963,9.50,"M ",31-05-2011,29-05-2012
711,"Sport-100 Helmet, Blue",Helmets,Accessories,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",13.0863,34.99,"S ",31-05-2011,NULL
712,AWC Logo Cap,Caps,Clothing,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,6.9223,8.99,"S ",31-05-2011,NULL
713,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,38.4923,49.99,"S ",31-05-2011,NULL
714,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,38.4923,49.99,"S ",31-05-2011,NULL
715,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,38.4923,49.99,"S ",31-05-2011,NULL
716,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,38.4923,49.99,"S ",31-05-2011,NULL
717,"HL Road Frame - Red, 62",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,868.6342,1431.50,"R ",31-05-2011,NULL
